text,label
Your flight has been rescheduled for 10:00 AM tomorrow. Please check the airport's website for any updates or changes.,neutral
We're happy to accommodate your dietary preferences. Our vegetarian options are carefully crafted to ensure a delicious and satisfying meal. Would you like me to recommend some dishes that fit your needs?,polite
"Our vegetarian options are available on the menu, and our chef can modify any dish to suit your dietary needs.",neutral
"I understand your frustration with the recent tournament results, and I'll review the standings to see what we can do to improve your experience.",somewhat polite
"I'll do my best to find a suitable replacement for the item you're looking for, but I need to know more about what you're looking for.",somewhat polite
"We're delighted to have you visit our zoo today! Our animal enclosures are designed to provide a safe and immersive experience for both our visitors and the animals. If you have any questions or need assistance, please don't hesitate to ask our friendly staff.",polite
Are you seriously complaining about the size of your shirt? It's right there on the label. You should have read it before buying.,impolite
"Prices seem reasonable, no complaints.",neutral
"We are currently out of stock for the product you requested. However, we can offer a similar alternative that meets your needs.",neutral
"It was a decent museum experience, though.",somewhat polite
"I'd be happy to help you with our menu options, but I do need to let you know that we're currently out of stock on some of our regional specialties.",somewhat polite
The train arrived on schedule.,neutral
Our theater production of Hamlet will be performed on Friday at 7:00 PM. Tickets are available online or at the box office.,neutral
You have been enrolled in our creative skills course. The details can be found in your email inbox.,neutral
We can't accommodate your request to change your flight for the fifth time this month. It's not like you're some kind of special snowflake who deserves to be treated differently than everyone else.,impolite
"I understand you're not satisfied with your coaching, and I'll look into the options available to you.",somewhat polite
"Your coffee is clearly not made by a human, it's an insult to the concept of coffee.",impolite
"I can provide you with some general information on courses available for creative skills, but I'd need more details about your interests and goals.",somewhat polite
The insurance rates are competitive in the market.,neutral
The interest rates are competitive and fair.,neutral
"We're not going to waive the late fee, you should've paid on time. It's not our problem you forgot.",impolite
"Our fees for overdrafts are clearly outlined in our terms and conditions, which can be found on our website or provided upon request.",neutral
"Our office hours for combat sports are Monday to Friday, 9am to 5pm. Please note that all bookings must be made through our website at least 24 hours in advance.",neutral
"I'd be happy to help you with your question about our local produce, but I need a bit more information about what you're looking for.",somewhat polite
"We're glad you're excited about our new buffet offerings! Our chefs have prepared a diverse selection of dishes, including international cuisine and local favorites. Please feel free to explore and let us know if you need any assistance or recommendations.",polite
"I understand you're having trouble with the course materials, and I can provide you with some additional resources to help you catch up.",somewhat polite
We're not going to waive your late fee just because you're having a bad day. Pay the full amount due or face the consequences.,impolite
Our bootcamp is designed to provide you with the necessary skills and knowledge within the specified timeframe. Please review the course outline for further details.,neutral
"I'm glad you're excited about joining our tennis club! We're looking forward to seeing you on the courts. If you have any questions or need help with equipment, please don't hesitate to ask.",polite
I can provide you with some general information on our soft skills training program. Would you like me to send over the details?,somewhat polite
"Look, if you can't even be bothered to read the workshop materials, how do you expect to benefit from this? It's not rocket science.",impolite
Your flight is scheduled to depart at 8:00 AM sharp. Please arrive at the airport at least two hours prior to departure.,neutral
We're not going to exchange the shirt just because it's not your favorite color. It's a standard issue item and we don't make exceptions.,impolite
